Name,Height
Asher Angel,5ft 9 ½ (177cm)
Criss Angel,5ft 11 (180cm)
Vanessa Angel,5ft 8 (173cm)
 Angelababy,5ft 4 ½ (164cm)
Pier Angeli,5ft 0 (152cm)
Genevieve Angelson,5ft 4 (163cm)
 Anggun,5ft 4 (163cm)
Kurt Angle,5ft 10 (178cm)
Christien Anholt,5ft 6 (168cm)
Jennifer Aniston,5ft 4 ¾ (164cm)
Nicole Aniston,5ft 3 (160cm)
 Anitta,5ft 1 ½ (156cm)
Evelyn Ankers,5ft 5 ½ (166cm)
Lisa Ann,5ft 1 ½ (156cm)
Dave Annable,5ft 9 (175cm)
Odette Annable,5ft 8 ½ (174cm)
 Anne Marie,5ft 6 (168cm)
Chloë Annett,5ft 4 (163cm)
Francesca Annis,5ft 4 (163cm)
Jade Anouka,5ft 5 ½ (166cm)
Nonso Anozie,6ft 5 ¼ (196cm)
Aziz Ansari,5ft 5 ¾ (167cm)
Ant Anstead,6ft 2 &frac18; (188cm)
Adam Ant,5ft 8 (173cm)
Lulu Antariksa,5ft 3 (160cm)
Giannis Antetokounmpo,6ft 10 ½ (210cm)
Carmelo Anthony,6ft 6 ¼ (199cm)
Daniel Anthony,5ft 4 (163cm)
Gethin Anthony,5ft 9 ½ (177cm)
La La Anthony,5ft 5 ½ (166cm)
Lysette Anthony,5ft 5 ½ (166cm)
Marc Anthony,5ft 6 (168cm)
Christian Antidormi,5ft 6 ¾ (170cm)
Benz Antoine,6ft 3 (191cm)
Vinessa Antoine,5ft 6 (168cm)
Susan Anton,5ft 11 (180cm)
Julia Antonelli,4ft 10 (147cm)
Jason Antoon,5ft 8 (173cm)
Cas Anvar,5ft 10 ½ (179cm)
Gabrielle Anwar,5ft 2 (157cm)
Mina Anwar,5ft 2 (157cm)
Elizabeth Anweis,5ft 7 ½ (171cm)
Devon Aoki,5ft 5 (165cm)
K.J. Apa,5ft 10 ¾ (180cm)
Magda Apanowicz,5ft 3 (160cm)
Judd Apatow,5ft 9 ¾ (177cm)
Maude Apatow,5ft 4 (163cm)
Kristina Apgar,5ft 8 ½ (174cm)
Gabrielle Aplin,5ft 2 (157cm)
Zach Appelman,5ft 9 ¼ (176cm)
Fiona Apple,5ft 2 (157cm)
Elisha Applebaum,5ft 3 (160cm)
Shiri Appleby,5ft 2 ¾ (159cm)
Christina Applegate,5ft 5 (165cm)
Hale Appleman,6ft 2 ½ (189cm)
Alistair Appleton,6ft 1 (185cm)
Amy Aquino,5ft 8 (173cm)
Julian Arahanga,5ft 7 ½ (171cm)
Robert Aramayo,5ft 9 (175cm)
Caroline Arapoglou,5ft 7 (170cm)
Roscoe Fatty Arbuckle,5ft 9 (175cm)
Nathaniel Arcand,5ft 11 (180cm)
Anne Archer,5ft 6 (168cm)
Jeffrey Archer,5ft 9 ½ (177cm)
Lance Archer,6ft 6 (198cm)
Melissa Archer,5ft 4 ½ (164cm)
Rob Archer,6ft 6 (198cm)
David Archuleta,5ft 5 (165cm)
Leila Arcieri,5ft 3 (160cm)
Manuela Arcuri,5ft 7 ½ (171cm)
Hanna Ardéhn,5ft 7 (170cm)
Alicia Arden,5ft 4 (163cm)
Eve Arden,5ft 8 (173cm)
Jacinda Ardern,5ft 6 (168cm)
Tina Arena,5ft 2 (157cm)
Lee Arenberg,5ft 3 ¾ (162cm)
Camilla Arfwedson,5ft 7 (170cm)
James Argent,6ft 0 (183cm)
Luca Argentero,6ft 0 (183cm)
Asia Argento,5ft 5 (165cm)
Carmen Argenziano,5ft 10 ½ (179cm)
Ashley Argota,5ft 3 (160cm)
Nina Arianda,5ft 8 (173cm)
Moisés Arias,4ft 11 (150cm)
Silvana Arias,5ft 1 (155cm)
Baby Ariel,5ft 2 (157cm)
Austin Aries,5ft 7 ½ (171cm)
Jonathan Aris,5ft 10 ½ (179cm)
Amir Arison,5ft 11 ¾ (182cm)
Adria Arjona,5ft 5 (165cm)
Adam Arkin,6ft 1 (185cm)
Alan Arkin,5ft 10 (178cm)
George Arliss,5ft 7 (170cm)
 Arlissa,5ft 10 ½ (179cm)
Emily Arlook,5ft 6 (168cm)
Allisyn Ashley Arm,5ft 1 (155cm)
Lindsay Armaou,5ft 5 (165cm)
Pedro Armendariz,6ft 0 (183cm)
Jasmine Armfield,5ft 3 (160cm)
Fred Armisen,5ft 8 ¼ (173cm)
Richard Armitage,6ft 2 ½ (189cm)
Alexander Armstrong,5ft 11 (180cm)
Alun Armstrong,5ft 10 (178cm)
Bess Armstrong,5ft 4 (163cm)
Billie Joe Armstrong,5ft 7 (170cm)
Curtis Armstrong,5ft 4 (163cm)
Danielle Armstrong,5ft 3 (160cm)
Darrell Armstrong,5ft 11 ¼ (181cm)
Joe Armstrong,5ft 10 (178cm)
Jonas Armstrong,5ft 11 ½ (182cm)
Kerry Armstrong,5ft 5 ½ (166cm)
Lance Armstrong,5ft 9 (175cm)
Louis Armstrong,5ft 5 ¾ (167cm)
Matthew John Armstrong,5ft 10 (178cm)
R G Armstrong,6ft 3 (191cm)
Samaire Armstrong,5ft 3 ½ (161cm)
Todd Armstrong,6ft 3 ½ (192cm)
Vaughn Armstrong,6ft 0 (183cm)
Desi Arnaz,5ft 9 ½ (177cm)
Lucie Arnaz,5ft 8 ½ (174cm)
James Arness,6ft 6 (198cm)
Will Arnett,6ft 2 ½ (189cm)
Nora Arnezeder,5ft 8 ½ (174cm)
Dylan Arnold,5ft 11 (180cm)
Luke Arnold,5ft 8 ¼ (173cm)
Tichina Arnold,5ft 5 (165cm)
Tom Arnold,6ft 1 (185cm)
Emme Aronson,5ft 11 (180cm)
Judie Aronson,5ft 4 (163cm)
Donatella Arpaia,5ft 7 (170cm)
David Arquette,5ft 9 ½ (177cm)
Patricia Arquette,5ft 1 ½ (156cm)
Rosanna Arquette,5ft 3 ¾ (162cm)
Gemma Arterton,5ft 7 (170cm)
Hannah Arterton,5ft 3 ½ (161cm)
Beatrice Arthur,5ft 9 ½ (177cm)
James Arthur,6ft 2 (188cm)
Jean Arthur,5ft 3 (160cm)
Madeleine Arthur,5ft 4 (163cm)
Owain Arthur,5ft 8 (173cm)
Lisa Arturo,5ft 5 ½ (166cm)
Ritu Arya,5ft 3 (160cm)
Pilou Asbaek,6ft  ¼ in (184cm)
Kelsey Asbille,5ft 6 ¼ (168cm)
Katie Aselton,5ft 6 ½ (169cm)
Erica Ash,5ft 8 (173cm)
Lauren Ash,5ft 7 (170cm)
Leslie Ash,5ft 5 ½ (166cm)
Peter Ash,5ft 6 (168cm)
 Ashanti,5ft 3 (160cm)
Dana Ashbrook,6ft 0 (183cm)
Linden Ashby,5ft 10 ¾ (180cm)
Richard Ashcroft,5ft 11 (180cm)
Tala Ashe,5ft 6 (168cm)
Dina Asher-Smith,5ft 4 (163cm)
Kate Ashfield,5ft 5 ½ (166cm)
Annaleigh Ashford,5ft 4 (163cm)
Clare Hope Ashitey,5ft 2 (157cm)
Elizabeth Ashley,5ft 5 (165cm)
Simone Ashley,5ft 8 (173cm)
Aaron Ashmore,5ft 11 ½ (182cm)
Shawn Ashmore,5ft 11 (180cm)
John Ashton,5ft 10 ½ (179cm)
Zawe Ashton,5ft 10 (178cm)
Roger Ashton-Griffiths,5ft 8 ½ (174cm)
Ed Asner,5ft 8 (173cm)
Shanik Aspe,5ft 4 ¾ (164cm)
